Business_ID,Industry,Business_Structure,Revenue_Streams,Property_Ownership_vs_Leasing,Current_Tax_Strategy,Years_in_Business,Previous_Tax_Liabilities,Gross_Revenue,Net_Income,Taxable_Income,Income_Growth_Rate,Operating_Expenses,Payroll_Expenses,Retirement_Plan_Contributions,Healthcare_Expenses,Depreciation_and_Amortization,Interest_Expenses,R&D_Expenses,R&D_Credits,Energy_Efficiency_Credits,Work_Opportunity_Tax_Credit (WOTC),Employee_Retention_Credits (ERC),Carryforwards_and_Carryback,Home_Office_Deduction,Fixed_Assets,Capital_Expenditures,Vehicle_Use_for_Business,Major_Asset_Sales,Capital_Gains_and_Losses,Outstanding_Debt,Interest_Payments,Loan_Type,Business_Investments,Sales_Tax_Obligations,Inventory_Method,Number_of_Employees,Employee_Salaries_&_Wages,Bonuses_and_Incentives,Retirement_Contributions_for_Employees,Health_Benefits_Provided,R&D_Credit_Eligible,ERC_Eligible,WOTC_Eligible,Energy_Credit_Eligible,Home_Office_Eligible
10021,Finance,Sole Proprietorship,Software Sales,Owning,Balanced,10,31035,8777571,237771,194692,0.22369396528568686,140243,4523257,23991,27469,8837,49334,97247,39287,6597,2810,14635,48094,1666,472590,43665,14942,91901,98228,37313,18100,Line of Credit,119836,25506,Weighted Average,263,2439053,43517,119479,422548,1,0,1,1,1
10022,Healthcare,C-Corp,Software Sales,Leasing,Aggressive,2,35620,2692536,287199,4497335,-0.1688029657008614,1027378,111894,43311,69016,50355,30583,179965,1777,4311,11663,671,38034,4511,470725,20957,28278,90724,7287,52103,2791,Short-term,111998,18562,FIFO,360,1331958,127618,62429,30115,1,0,0,1,1
10023,Tech,S-Corp,Software Sales,Leasing,Aggressive,14,24877,5604381,2907281,2431098,-0.03236047496085215,1867756,1418277,11916,51233,48299,2294,727,24014,2934,6152,777,37122,2195,253722,53127,9272,8888,82717,189480,13623,Line of Credit,55021,21239,FIFO,6,2762710,76885,401350,109405,0,0,0,1,1
10024,Tech,C-Corp,Consulting,Leasing,Aggressive,9,48404,619165,2782481,1697888,-0.16649173112439503,958601,2543200,12143,71708,20159,16096,414575,14772,22,12,21311,20622,1384,347927,68589,34637,88666,9076,486467,4311,Line of Credit,467273,14065,Weighted Average,440,35064,47350,247067,97404,1,0,1,1,1
10025,Manufacturing,Sole Proprietorship,Software Sales,Owning,Conservative,3,35911,4514084,4884777,2625917,0.28767156673953526,416308,1614592,27855,63232,52012,37833,43822,46389,1209,11162,26855,28584,4403,54440,51008,39294,39159,66475,98771,13847,Short-term,135672,46415,Weighted Average,320,3826708,78179,48199,445213,0,0,1,1,1
10026,Manufacturing,LLC,Consulting,Leasing,Conservative,21,37784,3540866,2324316,1864964,0.20848695363591835,1121887,4484024,17581,98450,60305,47858,494763,44627,8940,7999,3022,47850,3954,41655,66920,8741,42197,151,136228,31776,Short-term,385703,42291,FIFO,231,679830,160346,82092,227223,1,0,1,1,1
10027,Retail,LLC,Consulting,Owning,Balanced,26,8191,3978363,3652615,1428509,0.22627371062298524,42692,3577945,3907,91437,88096,28328,365543,18161,804,7219,18244,4722,2899,53039,37875,5694,84326,17384,101665,47119,Short-term,333980,39805,Weighted Average,434,959507,46013,392069,154687,1,0,1,1,1
10028,Healthcare,C-Corp,E-commerce,Leasing,Aggressive,8,38160,1127557,1633214,3794542,0.2689826157169471,1717818,3676569,31424,39409,18106,25398,112113,42264,8325,5328,19523,17772,60,327399,6626,31306,90360,49865,806966,16013,Long-term,425291,34295,LIFO,30,1407979,40913,169894,155804,1,0,1,1,1
10029,Healthcare,Sole Proprietorship,Subscription,Owning,Conservative,16,30000,7535697,801518,2538214,-0.15744825694010733,699222,3239112,25308,24324,59123,18706,219606,7490,4416,3621,13817,20569,3947,82219,95815,2934,98941,-16459,839492,5642,Line of Credit,225587,19443,FIFO,22,656480,46819,229585,428583,1,0,1,1,1
10030,Manufacturing,LLC,Subscription,Leasing,Aggressive,2,44040,5998885,563313,4148502,-0.007201203743333329,412179,1058966,43984,13738,9720,23340,392575,41661,8625,11665,14260,41679,2290,196061,68822,22556,24474,22847,813621,23746,Short-term,429018,10290,LIFO,409,1427296,83168,287257,120670,1,0,1,1,1
10031,Healthcare,Sole Proprietorship,Consulting,Leasing,Balanced,6,8631,7701723,3981586,1608146,-0.16448255547799895,241468,4610549,43505,29054,38661,19825,404145,24502,5141,11314,1074,3235,472,283388,76765,19907,17333,955,924863,26007,Long-term,213833,1211,FIFO,156,2746921,93680,199666,52738,1,0,1,1,1
10032,Healthcare,C-Corp,E-commerce,Leasing,Conservative,28,11172,8046155,3264215,523455,-0.0946034492249857,1410227,4226794,48525,34709,94898,18482,390732,35757,4968,652,9908,4576,958,104594,77413,7159,36355,90362,620355,27214,Short-term,82017,19098,LIFO,118,1231694,95792,101102,252368,1,0,1,1,1
10033,Tech,LLC,Consulting,Leasing,Conservative,21,47080,5788238,3510989,4076405,-0.08531711148116383,100152,842307,38942,90643,94794,10318,60091,41111,3671,16182,9475,26707,532,330739,38642,49487,99415,37780,807399,12694,Line of Credit,484969,20072,LIFO,340,490471,196982,269813,142053,1,0,1,1,1
10034,Manufacturing,Sole Proprietorship,Consulting,Leasing,Conservative,29,28561,9694731,2382214,587219,0.03455360552378933,483685,2099632,28957,5363,88318,42256,473594,32737,7292,8812,12878,33868,493,180623,43311,30158,73903,49919,747351,8026,Long-term,246421,44290,Weighted Average,423,906357,155557,185499,203953,1,0,1,1,1
10035,Finance,LLC,Consulting,Owning,Balanced,26,29817,6803560,2380229,2226268,-0.06571891627317872,1597790,1850875,27464,15358,22120,45009,154591,17709,7001,3790,15120,41632,81,204302,37356,21293,66258,62854,861995,19862,Line of Credit,191894,20650,FIFO,451,1391028,134932,479833,199681,1,0,1,1,1
10036,Manufacturing,C-Corp,E-commerce,Leasing,Aggressive,25,25281,1885559,1913462,4485975,-0.14951094659111946,1028803,4809412,25649,8240,20790,44185,410609,44682,2098,15659,23147,41476,4974,376042,8809,46761,31145,11768,280804,46781,Short-term,449819,16115,Weighted Average,389,476435,50875,149010,490306,1,0,1,1,1
10037,Finance,Sole Proprietorship,Subscription,Leasing,Conservative,12,33671,8797057,704224,4027793,-0.11625445545294616,23969,2378417,44065,77201,59655,16574,427534,8998,8444,1645,1986,30285,2970,300515,48371,47581,75675,-6738,390815,45352,Short-term,369833,6149,Weighted Average,193,558359,146991,403933,494071,1,0,1,1,1
10038,Tech,LLC,E-commerce,Leasing,Balanced,5,30364,633634,2300397,1664777,-0.12636221822395455,1104309,4205843,29125,50689,60643,49070,205603,28906,5061,10435,10825,24154,11,472574,39875,34932,49854,86578,494091,46617,Short-term,85291,42992,FIFO,399,2489536,74947,344962,353810,1,0,1,1,1
10039,Retail,C-Corp,Software Sales,Owning,Aggressive,2,46674,4032747,2049284,2911656,0.28653839895614913,351999,3565971,36758,6936,94448,15650,356336,35490,9321,3688,9193,20054,4544,169950,14465,34387,67664,-29395,139909,48336,Long-term,357594,18716,LIFO,346,4740710,10586,445875,356495,1,0,1,1,1
10040,Healthcare,LLC,E-commerce,Leasing,Balanced,16,32425,8678845,2051676,3895933,0.1796462534592368,61743,4016389,7596,96074,48374,47118,179006,4656,3264,7689,22711,17165,761,177229,71095,41750,86153,28590,443039,5095,Long-term,171664,33188,FIFO,195,3228136,52986,200647,411782,1,0,1,1,1
10041,Tech,LLC,E-commerce,Owning,Aggressive,5,33602,8202873,1734532,2366729,0.283880732634781,1723057,322579,18374,48965,43907,29930,499012,36901,5435,1379,17430,14439,3185,15914,78844,4066,93616,-21769,459058,30894,Long-term,61006,14621,FIFO,168,2136310,90848,84737,495081,1,0,0,1,1
10042,Healthcare,S-Corp,E-commerce,Leasing,Balanced,15,28253,9344655,504418,3947129,0.019870243253954256,190948,4083542,5775,82534,51071,21171,372949,25735,8493,4243,2176,44518,25,224772,70250,22256,35285,29397,150688,15902,Long-term,424485,7820,FIFO,377,4922785,24055,414505,212957,1,0,1,1,1
10043,Retail,S-Corp,E-commerce,Leasing,Aggressive,12,28472,4723636,1522542,135556,-0.06081575916867171,913877,1573825,29388,5882,35812,35864,474319,29092,6691,10237,18722,22515,1806,299324,91889,42406,17533,27123,85976,27640,Short-term,109268,48529,Weighted Average,489,564162,166962,29406,20728,1,0,1,1,1
10044,Retail,C-Corp,Subscription,Owning,Conservative,4,13080,7656855,4523014,1937883,0.19914659860459333,40323,3528920,23029,25224,50570,12801,159912,1242,2763,16330,10047,26962,4157,406904,20250,36105,32624,-36485,767496,23095,Short-term,317282,43800,FIFO,239,4453443,195153,232894,377996,1,0,1,1,1
10045,Tech,S-Corp,Software Sales,Leasing,Aggressive,15,12099,5434233,4906854,3509992,-0.03687304097942662,1591869,4038604,20445,35825,51901,23372,380233,41307,4005,19037,16884,42549,4324,352363,51023,6594,46996,37211,189810,43223,Short-term,67398,31399,FIFO,362,3488454,29807,17873,356055,1,0,1,1,1
10046,Retail,C-Corp,Subscription,Owning,Balanced,11,30431,1506368,612621,1595537,-0.05030831314732587,1347148,3487794,16645,75740,61186,17559,89367,1831,3241,5611,18617,37763,4702,350760,51624,3460,46947,-33400,285251,47264,Long-term,226163,15002,FIFO,482,4336907,48177,130812,127616,1,0,1,1,1
10047,Finance,S-Corp,Subscription,Owning,Balanced,16,36186,6941300,3579801,692755,-0.08374700389608442,578866,1534631,33105,33885,51251,33334,13265,28511,3057,12516,29150,44754,3659,237561,21427,7820,27956,19310,726764,25411,Long-term,155946,44098,LIFO,244,1002207,69625,349192,228422,0,0,1,1,1
10048,Retail,LLC,E-commerce,Leasing,Aggressive,23,35111,9334082,4858163,3706344,-0.13516051088788233,1679350,1201890,15668,45056,66171,40937,398640,7246,550,13886,27115,45278,1525,413132,38276,37210,51030,85501,628470,26252,Short-term,324372,46511,LIFO,69,1483497,146314,492679,308358,1,0,1,1,1
10049,Healthcare,C-Corp,Consulting,Owning,Conservative,6,44851,5885267,1648099,3566362,-0.07176846949161703,521793,2355251,17960,8203,37160,14288,413841,31467,5574,13716,4608,19464,760,197435,76643,17191,58597,85678,777441,19905,Short-term,329814,29750,LIFO,95,3759397,57317,28461,199007,1,0,1,1,1
10050,Healthcare,C-Corp,Consulting,Leasing,Conservative,14,27614,1324744,4244463,783088,-0.022340125763056162,346284,2902531,13357,65241,20156,23398,79622,18302,5411,5912,11906,42036,594,105213,84012,20095,42443,85550,888219,24720,Long-term,130613,27074,LIFO,499,4712125,172050,418926,228153,1,0,1,1,1
10051,Healthcare,LLC,Subscription,Leasing,Aggressive,18,31724,6070226,3863233,2635834,0.1369971040728652,1850314,4971914,39203,7244,77208,11694,160259,3232,1587,6449,7234,30413,1055,430576,8439,11529,98613,64380,812386,34453,Line of Credit,107071,18310,Weighted Average,77,3341453,17433,483704,317732,1,0,1,1,1
10052,Healthcare,C-Corp,Subscription,Owning,Aggressive,12,46991,4962894,1261569,99778,-0.16871757889027422,1700189,2833978,17804,73619,80980,13191,298073,36526,5920,1725,24356,33270,1854,47805,90848,33175,65464,61780,289087,36553,Short-term,115572,18006,Weighted Average,171,798873,34282,18448,160025,1,0,1,1,1
10053,Finance,C-Corp,E-commerce,Owning,Balanced,27,9940,2231018,4611307,1134409,-0.09474653016732854,1938837,4193583,16626,26584,73320,19051,324036,38765,5260,15870,6610,42299,3083,416669,92331,18675,3952,16177,50725,3947,Short-term,252766,10671,FIFO,1,486548,77519,20198,340552,1,0,0,1,1
10054,Manufacturing,S-Corp,Subscription,Owning,Conservative,11,33758,8310710,1245885,2693528,0.20451182014583819,288508,916395,30132,13521,18929,11737,151611,10972,4409,9304,10524,20269,3916,136599,83672,44158,56880,5746,841866,11162,Short-term,143997,45345,Weighted Average,406,2452095,44578,78158,478120,1,0,1,1,1
10055,Tech,C-Corp,E-commerce,Owning,Aggressive,13,41224,3589429,1206083,4144399,-0.12653903820811463,411011,3838239,9951,55017,67606,26251,318774,48136,5783,7522,16984,31541,3675,163775,84703,47798,52201,73075,882183,5399,Long-term,270251,28894,LIFO,62,4538633,131843,466154,306247,1,0,1,1,1
10056,Healthcare,Sole Proprietorship,Consulting,Leasing,Conservative,21,12788,6988260,2024324,1553083,-0.028677426738739242,1497141,4540734,8449,38541,89442,6147,221711,34592,712,13663,13411,8009,2048,200093,22300,6374,42460,35195,544398,29082,Short-term,91388,27193,FIFO,207,3637257,109333,449015,80949,1,0,1,1,1
10057,Retail,LLC,Consulting,Leasing,Aggressive,23,33082,6578443,3948190,3382103,0.23232946092907003,1724627,3433994,21065,34063,63559,20643,486626,10683,5406,4784,20668,17007,1458,84176,65289,26976,22796,-13182,508864,49328,Short-term,100719,11222,FIFO,154,2420834,156205,230075,235877,1,0,1,1,1
10058,Healthcare,S-Corp,Software Sales,Owning,Aggressive,11,29034,394746,3438445,2213513,-0.12253734442827868,802259,4867018,37967,75268,55205,39967,402431,23664,7990,9472,9180,26462,1219,104799,22182,14142,31746,-28691,288606,2435,Short-term,123018,24786,LIFO,274,2616057,51317,171033,452480,1,0,1,1,1
10059,Retail,S-Corp,Consulting,Leasing,Conservative,23,40479,5810754,2792974,1438949,-0.15863158219090506,1688462,1954606,41536,69952,69475,34314,170457,36828,7420,17616,15225,11542,4228,108385,75507,13204,86785,99760,351376,42713,Short-term,294761,32509,LIFO,48,3377198,128878,179079,161228,1,0,1,1,1
10060,Retail,Sole Proprietorship,Subscription,Leasing,Aggressive,16,16280,5532019,3542099,562154,0.042268997540005404,1790403,4815028,11130,98054,65341,38999,131025,33172,6843,10055,10073,17434,4181,245654,55912,8394,15,-21824,719441,42542,Short-term,79258,1386,LIFO,137,3600176,109745,70470,23423,1,0,1,1,1
10061,Healthcare,LLC,Consulting,Leasing,Aggressive,15,23052,4452892,1329180,3508582,-0.048790244360731816,196968,2317600,25824,44563,96377,41733,87580,18105,2433,12676,4483,29765,1499,484830,31909,34593,49757,18879,456015,10835,Line of Credit,317219,2634,Weighted Average,1,140026,130230,188328,310206,1,0,0,1,1
10062,Finance,LLC,E-commerce,Leasing,Balanced,21,21531,1802159,3383178,1051930,0.08170418224192705,77062,980278,43401,44752,43863,19467,339606,21700,3301,7446,5901,23769,1830,98919,24659,42964,25957,17592,600855,18169,Line of Credit,131998,41878,FIFO,235,466295,66950,25739,183877,1,0,1,1,1
10063,Retail,S-Corp,Consulting,Owning,Aggressive,28,27804,3857985,4581211,1119525,0.20190244524173756,1296914,505919,38993,7567,82837,35808,113396,11017,270,4725,6129,22465,3395,484288,36403,12652,81541,34728,492517,9045,Short-term,289775,5133,LIFO,393,2797540,60612,351198,274131,1,0,1,1,1
10064,Retail,C-Corp,Software Sales,Owning,Aggressive,15,33903,3902177,2634182,1825818,-0.13142575592362843,755122,3291837,33875,21121,66439,2752,359181,36613,9986,14769,18138,21868,1203,410626,38586,34740,21292,90488,716584,40747,Short-term,128120,43144,FIFO,256,3732151,65873,325330,72979,1,0,1,1,1
10065,Healthcare,S-Corp,Consulting,Leasing,Aggressive,25,49857,8612558,1858286,2991720,0.09034954227714248,689221,2958134,8054,6674,8194,2849,95310,20594,1079,1409,18848,20156,4270,91462,15360,45036,31876,-41416,399569,38523,Short-term,198516,39349,FIFO,407,4900730,116792,31547,309741,1,0,1,1,1
10066,Retail,LLC,E-commerce,Owning,Balanced,4,15142,1253224,4649757,1200117,0.05275438019493195,1296485,2319608,36273,81411,72387,3642,156080,11384,5322,8205,10415,20300,2810,189340,26424,1443,60727,74555,852495,18769,Short-term,364302,35735,Weighted Average,107,4968381,194074,99472,93905,1,0,1,1,1
10067,Retail,Sole Proprietorship,E-commerce,Owning,Conservative,11,14866,2750235,4915313,2122963,-0.12796060699340023,526995,1357203,43821,71275,82914,2600,311072,30348,8795,16365,4482,13435,3092,175320,53791,24903,47046,43302,123394,38330,Long-term,406099,22952,FIFO,173,3249198,184580,352967,168940,1,0,1,1,1
10068,Healthcare,S-Corp,Subscription,Owning,Balanced,19,9531,4840039,4413089,4296146,0.11199924276449119,108302,476589,12832,72081,67214,47719,214168,16448,5257,256,9686,4114,3044,41159,8065,34522,14817,72408,851672,7566,Long-term,417924,25816,LIFO,130,2885530,170451,111887,86970,1,0,0,1,1
10069,Healthcare,LLC,Consulting,Leasing,Balanced,15,43098,8399350,2847921,2625171,-0.06317979106961419,1656792,2403365,31670,34140,97176,21786,89876,9491,7982,18105,25428,46336,4673,52039,73795,29180,91006,-31170,877784,11212,Long-term,51221,22529,LIFO,398,1114526,125814,187503,73805,1,0,1,1,1
10070,Tech,S-Corp,E-commerce,Leasing,Conservative,4,43278,9793374,4424142,1321506,0.043917159272006234,1053224,1197018,24852,14327,30777,45565,24976,13112,9777,15704,7400,36135,3514,242974,17300,49791,9759,27066,158940,16491,Line of Credit,153269,6767,FIFO,294,3876811,16231,423692,129779,0,0,1,1,1
10071,Finance,C-Corp,Software Sales,Leasing,Balanced,21,33138,2403554,319160,329134,-0.15886383786146907,758591,1702737,25620,75663,27183,21183,245014,31021,6214,17807,6806,8095,1798,57800,38370,22119,48432,-46409,353133,36290,Short-term,419350,42521,FIFO,40,2395521,88385,214483,483300,1,0,1,1,1
10072,Finance,S-Corp,Subscription,Owning,Conservative,13,32065,4120120,2619931,2808705,0.029792028606811516,585635,2277357,30307,28331,28445,2132,387128,44553,5006,2990,25027,37909,2575,312905,74831,11363,6412,43878,32222,22149,Long-term,373066,19383,Weighted Average,447,513466,42163,277830,419852,1,0,1,1,1
10073,Retail,S-Corp,Software Sales,Leasing,Balanced,22,34956,3046862,491904,4364660,-0.04676826597858985,547409,1809971,49551,28004,68038,39259,158698,968,3985,1195,10516,3951,144,104626,32209,44665,57757,75407,89794,34815,Short-term,38550,5901,LIFO,338,4294015,122880,153608,67467,1,0,1,1,1
10074,Finance,LLC,Consulting,Leasing,Conservative,19,46732,2776517,628526,2906069,0.21119060559267716,103793,1154337,3551,15492,88201,32076,360400,368,9587,1244,7396,21468,4857,489319,25927,39164,20504,66869,598212,31306,Short-term,281786,43889,LIFO,16,2258275,163748,301206,117732,1,0,1,1,1
10075,Retail,LLC,Consulting,Owning,Aggressive,2,44261,4407086,887393,777090,-0.17151063650131587,1621028,1434473,49922,59797,17198,39563,362681,8424,8791,11415,7338,27073,3926,128368,39579,32541,8507,-28605,634142,12710,Line of Credit,418655,15633,FIFO,127,3945300,88592,315360,158079,1,0,1,1,1
10076,Tech,LLC,Consulting,Leasing,Balanced,14,15759,7431006,3395503,954565,0.00930363745916496,307635,3260428,29812,63095,22411,27691,190861,35010,8705,6766,9950,47655,1377,184735,14032,4465,21050,-33262,874945,37472,Line of Credit,495995,20163,FIFO,373,3850278,107564,423257,373604,1,0,1,1,1
10077,Healthcare,S-Corp,Subscription,Leasing,Balanced,29,10439,9115828,864422,3875598,0.02921571206571899,603510,3592334,15799,18749,51577,44299,397916,35851,5991,11662,12500,34341,3146,90903,98254,3711,4820,83703,794326,40858,Long-term,111093,11707,FIFO,349,253597,56535,298797,498963,1,0,1,1,1
10078,Healthcare,C-Corp,E-commerce,Owning,Balanced,4,47533,8429442,784983,1092425,0.16250303814955935,698525,583881,28312,68217,16867,11931,109331,25496,6227,16210,11545,46127,1825,443628,83413,26198,7835,98977,851081,34636,Long-term,422799,23576,LIFO,492,2665348,111952,26673,217936,1,0,1,1,1
10079,Healthcare,Sole Proprietorship,Subscription,Owning,Balanced,16,33270,6269912,2313429,817567,0.08714378754510549,548036,1028454,41620,94044,63501,8633,194717,30936,9258,17690,28712,2768,793,128998,45731,23488,93167,-30944,375130,44797,Line of Credit,266188,19061,FIFO,203,4581295,178182,146439,406605,1,0,1,1,1
10080,Finance,Sole Proprietorship,Software Sales,Owning,Aggressive,21,18279,8931924,3185812,2756207,0.1336061685970905,1619417,3888551,3449,14045,15266,38777,251666,13322,7833,10313,5241,38070,1601,251324,97202,39515,13587,71656,778103,16445,Line of Credit,98885,46101,Weighted Average,134,3024494,179050,24629,128105,1,0,1,1,1
